步骤		状态栈				符号栈				待输入串				ACTION GO
246		03578912141717171717173144647792102109				#Bti(D){FFFFFFj(L){E}				k{io=n;}w(ipi){io=i;b;}rn;}#				S112：将状态112压入状态栈
248		03578912141717171717173144647792102109112				#Bti(D){FFFFFFj(L){E}k				{io=n;}w(ipi){io=i;b;}rn;}#				S114：将状态114压入状态栈
250		03578912141717171717173144647792102109112114				#Bti(D){FFFFFFj(L){E}k{				io=n;}w(ipi){io=i;b;}rn;}#				S28：将状态28压入状态栈
252		0357891214171717171717314464779210210911211428				#Bti(D){FFFFFFj(L){E}k{i				o=n;}w(ipi){io=i;b;}rn;}#				S41：将状态41压入状态栈
254		035789121417171717171731446477921021091121142841				#Bti(D){FFFFFFj(L){E}k{io				=n;}w(ipi){io=i;b;}rn;}#				S54：将状态54压入状态栈
256		03578912141717171717173144647792102109112114284154				#Bti(D){FFFFFFj(L){E}k{io=				n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
258		0357891214171717171717314464779210210911211428415453				#Bti(D){FFFFFFj(L){E}k{io=n				;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态67入栈
260		0357891214171717171717314464779210210911211428415467				#Bti(D){FFFFFFj(L){E}k{io=J				;}w(ipi){io=i;b;}rn;}#				S79：将状态79压入状态栈
262		035789121417171717171731446477921021091121142841546779				#Bti(D){FFFFFFj(L){E}k{io=J;				}w(ipi){io=i;b;}rn;}#				r18：用I->io=J;归约，并将状态21入栈
264		0357891214171717171717314464779210210911211421				#Bti(D){FFFFFFj(L){E}k{I				}w(ipi){io=i;b;}rn;}#				r16：用F->I归约，并将状态17入栈
266		0357891214171717171717314464779210210911211417				#Bti(D){FFFFFFj(L){E}k{F				}w(ipi){io=i;b;}rn;}#				268		035789121417171717171731446477921021091121141718				#Bti(D){FFFFFFj(L){E}k{F@				}w(ipi){io=i;b;}rn;}#				r9：用E->@归约，并将状态36入栈
270		035789121417171717171731446477921021091121141736				#Bti(D){FFFFFFj(L){E}k{FE				}w(ipi){io=i;b;}rn;}#				r8：用E->FE归约，并将状态115入栈
272		03578912141717171717173144647792102109112114115				#Bti(D){FFFFFFj(L){E}k{E				}w(ipi){io=i;b;}rn;}#				S116：将状态116压入状态栈
274		03578912141717171717173144647792102109112114115116				#Bti(D){FFFFFFj(L){E}k{E}				w(ipi){io=i;b;}rn;}#				r31：用P->j(L){E}k{E}归约，并将状态23入栈
276		035789121417171717171723				#Bti(D){FFFFFFP				w(ipi){io=i;b;}rn;}#				r29：用F->P归约，并将状态17入栈
278		035789121417171717171717				#Bti(D){FFFFFFF				w(ipi){io=i;b;}rn;}#				S30：将状态30压入状态栈
280		03578912141717171717171730				#Bti(D){FFFFFFFw				(ipi){io=i;b;}rn;}#				S43：将状态43压入状态栈
282		0357891214171717171717173043				#Bti(D){FFFFFFFw(				ipi){io=i;b;}rn;}#				S62：将状态62压入状态栈
284		035789121417171717171717304362				#Bti(D){FFFFFFFw(i				pi){io=i;b;}rn;}#				r19：用J->i归约，并将状态61入栈
286		035789121417171717171717304361				#Bti(D){FFFFFFFw(J				pi){io=i;b;}rn;}#				S76：将状态76压入状态栈
288		03578912141717171717171730436176				#Bti(D){FFFFFFFw(Jp				i){io=i;b;}rn;}#				S90：将状态90压入状态栈
290		0357891214171717171717173043617690				#Bti(D){FFFFFFFw(Jpi				){io=i;b;}rn;}#				r19：用J->i归约，并将状态89入栈
292		0357891214171717171717173043617689				#Bti(D){FFFFFFFw(JpJ				){io=i;b;}rn;}#				r21：用L->JpJ归约，并将状态60入栈
294		035789121417171717171717304360				#Bti(D){FFFFFFFw(L				){io=i;b;}rn;}#				S75：将状态75压入状态栈
296		03578912141717171717171730436075				#Bti(D){FFFFFFFw(L)				{io=i;b;}rn;}#				S88：将状态88压入状态栈
